city,lat,lng
"Kabul, Afghanistan",34.28,69.11
"Tirane, Albania",41.18,19.49
"Algiers, Algeria",36.42,3.08
"Pago Pago, American Samoa",-14.16,-170.43
"Andorra la Vella, Andorra",42.31,1.32
"Luanda, Angola",-8.5,13.15
"West Indies, Antigua and Barbuda",17.2,-61.48
"Buenos Aires, Argentina",-36.3,-60.0
"Yerevan, Armenia",40.1,44.31
"Oranjestad, Aruba",12.32,-70.02
"Canberra, Australia",-35.15,149.08
"Vienna, Austria",48.12,16.22
"Baku, Azerbaijan",40.29,49.56
"Nassau, Bahamas",25.05,-77.2
"Manama, Bahrain",26.1,50.3
"Dhaka, Bangladesh",23.43,90.26
"Bridgetown, Barbados",13.05,-59.3
"Minsk, Belarus",53.52,27.3
"Brussels, Belgium",50.51,4.21
"Belmopan, Belize",17.18,-88.3
"Porto Novo (constitutional) / Cotonou (seat of government), Benin",6.23,2.42
"Thimphu, Bhutan",27.31,89.45
"La Paz (administrative) / Sucre (legislative), Bolivia",-16.2,-68.1
"Sarajevo, Bosnia and Herzegovina",43.52,18.26
"Gaborone, Botswana",-24.45,25.57
"Brasilia, Brazil",-15.47,-47.55
"Road Town, British Virgin Islands",18.27,-64.37
"Bandar Seri Begawan, Brunei Darussalam",4.52,115.0
"Sofia, Bulgaria",42.45,23.2
"Ouagadougou, Burkina Faso",12.15,-1.3
"Bujumbura, Burundi",-3.16,29.18
"Phnom Penh, Cambodia",11.33,104.55
"Yaounde, Cameroon",3.5,11.35
"Ottawa, Canada",45.27,-75.42
"Praia, Cape Verde",15.02,-23.34
"George Town, Cayman Islands",19.2,-81.24
"Bangui, Central African Republic",4.23,18.35
"N'Djamena, Chad",12.1,14.59
"Santiago, Chile",-33.24,-70.4
"Beijing, China",39.55,116.2
"Bogota, Colombia",4.34,-74.0
"Moroni, Comros",-11.4,43.16
"Brazzaville, Congo",-4.09,15.12
"San Jose, Costa Rica",9.55,-84.02
"Yamoussoukro, Cote d'Ivoire",6.49,-5.17
"Zagreb, Croatia",45.5,15.58
"Havana, Cuba",23.08,-82.22
"Nicosia, Cyprus",35.1,33.25
"Prague, Czech Republic",50.05,14.22
"Kinshasa, Democratic Republic of the Congo",-4.2,15.15
"Copenhagen, Denmark",55.41,12.34
"Djibouti, Djibouti",11.08,42.2
"Roseau, Dominica",15.2,-61.24
"Santo Domingo, Dominica Republic",18.3,-69.59
"Dili, East Timor",-8.29,125.34
"Quito, Ecuador",-0.15,-78.35
"Cairo, Egypt",30.01,31.14
"San Salvador, El Salvador",13.4,-89.1
